title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
The Miracle of Morgan’s Creek,1943,Preston Sturges,98,3296,787,3.8,3,13,10,54,88,255,414,577,297,238
A War,2015,Tobias Lindholm,115,4113,590,3.5,3,13,20,112,183,632,893,884,179,69
Breaker Morant,1980,Bruce Beresford,107,3215,726,3.9,3,4,4,28,61,220,396,706,273,203
Hearts and Minds,1974,Peter Davis,112,3380,686,4.1,5,4,4,22,21,167,258,700,439,357
The Third Part of the Night,1971,Andrzej Żuławski,102,2739,629,3.8,0,8,5,25,65,211,313,557,185,154
Richard III,1995,Richard Loncraine,104,4970,902,3.6,9,19,17,72,120,472,690,860,233,172
Virunga,2014,Orlando von Einsiedel,90,4930,986,3.9,0,2,6,52,90,383,695,1264,514,403
Heartbreak Ridge,1986,Clint Eastwood,130,7596,1094,3.2,9,54,72,343,471,1271,948,686,123,122
"Lacombe, Lucien",1974,Louis Malle,138,3371,624,3.7,5,13,8,46,71,325,453,702,274,145
The Messenger: The Story of Joan of Arc,1999,Luc Besson,158,10215,854,2.9,42,152,167,690,752,1449,757,533,110,124
Barefoot Gen,1983,Mori Masaki,83,3593,751,3.8,4,10,7,31,72,293,445,758,252,219
Ulysses' Gaze,1995,Theo Angelopoulos,169,2974,756,4.0,2,18,21,36,52,177,246,465,324,415
Courage Under Fire,1996,Edward Zwick,117,10825,951,3.1,15,55,74,439,640,1857,1040,592,78,82
The Siege of Jadotville,2016,Richie Smyth,108,6990,1131,3.3,9,36,86,243,452,1520,1403,930,157,153
The Counterfeiters,2007,Stefan Ruzowitzky,98,6177,783,3.6,2,12,17,60,172,691,1065,1240,287,144
Gunga Din,1939,George Stevens,117,4405,712,3.4,12,24,40,159,191,529,545,605,177,120
The Sorrow and the Pity,1969,Marcel Ophüls,251,1794,358,4.1,4,3,7,4,17,81,108,307,192,200
Joyeux Noel,2005,Christian Carion,116,6025,1116,3.6,7,24,24,96,168,649,869,1012,328,248
The White Helmets,2016,Orlando von Einsiedel,40,7490,1287,3.7,43,36,29,101,194,711,1118,1681,440,510
The Hill,1965,Sidney Lumet,123,2986,750,3.9,1,4,8,30,52,182,329,686,384,214
Kelly's Heroes,1970,Brian G. Hutton,144,8469,1809,3.6,7,16,30,136,226,1012,1208,1360,357,360
The Red and the White,1967,Miklós Jancsó,90,2460,522,3.9,0,7,11,41,42,160,246,467,254,214
Tae Guk Gi: The Brotherhood of War,2004,Kang Je-gyu,149,6376,999,3.7,14,27,43,120,208,586,877,1210,461,346
The Steel Helmet,1951,Samuel Fuller,85,3534,921,3.8,0,3,3,28,53,262,510,829,327,180
Windtalkers,2002,John Woo,134,13128,846,2.7,86,315,371,1195,1265,1798,807,418,62,72
Swing Kids,2018,Kang Hyoung-chul,133,3116,1131,3.9,1,10,16,50,78,303,412,760,329,469
Valiant,2005,Gary Chapman,76,17203,640,2.2,317,782,679,1627,1047,1070,299,199,24,77
Ballad of a Soldier,1959,Grigoriy Chukhray,89,3420,871,4.0,1,8,5,18,43,187,373,707,426,327
Fires on the Plain,1959,Kon Ichikawa,108,2926,734,4.0,1,5,5,20,19,145,285,649,409,263
The Water Diviner,2014,Russell Crowe,112,8611,823,3.0,47,123,172,602,763,1578,1065,617,91,116
The Travelling Players,1975,Theo Angelopoulos,223,2216,535,4.1,2,9,13,27,40,100,139,305,214,340
The Year of Living Dangerously,1982,Peter Weir,115,5390,819,3.5,4,19,19,120,214,713,871,767,166,117
The Flowers of War,2011,Zhang Yimou,146,7006,1176,3.5,13,37,54,234,335,784,1008,1059,312,330
Red Sorghum,1987,Zhang Yimou,91,3937,684,3.7,3,10,12,58,103,400,589,789,226,150
Sergeant York,1941,Howard Hawks,134,4882,736,3.5,5,25,24,125,178,575,654,697,191,168
Seven Beauties,1975,Lina Wertmüller,116,3002,778,3.9,5,8,5,46,68,172,327,653,352,290
The Big Parade,1925,King Vidor,151,2972,646,3.9,4,7,11,24,58,180,279,542,318,274
Behind Enemy Lines,2001,John Moore,106,18091,1361,2.8,60,243,350,1208,1438,2621,1252,694,102,99
Five Came Back,2017,Laurent Bouzereau,195,5656,1532,4.0,8,5,4,30,54,324,621,1517,594,571
Le Silence de la mer,1949,Jean-Pierre Melville,87,4969,1291,3.8,3,5,7,43,99,410,804,1239,500,295
To Live,1994,Zhang Yimou,133,5558,1410,4.1,4,5,9,29,48,211,487,1256,678,623
The Captain,2017,Robert Schwentke,118,6141,1270,3.8,3,15,26,83,149,595,1293,2089,560,230
Coming Home,1978,Hal Ashby,127,4993,880,3.7,3,12,11,96,136,517,679,908,339,244
Lore,2012,Cate Shortland,105,5917,1126,3.6,5,24,31,124,205,709,915,1116,328,224
Kanal,1957,Andrzej Wajda,96,3427,854,4.1,1,5,3,20,33,158,321,769,476,339
When the Wind Blows,1986,Jimmy T. Murakami,81,5939,1222,3.8,4,11,11,69,97,400,648,1234,489,323
The Train,1964,John Frankenheimer,133,5319,1464,4.0,2,7,5,31,56,347,617,1406,652,421
Dogfight,1991,Nancy Savoca,94,5096,1457,3.8,3,13,14,58,90,506,643,934,329,412
Zulu,1964,Cy Endfield,138,9016,1661,3.7,12,24,31,162,190,820,1036,1551,530,510
A Bridge Too Far,1977,Richard Attenborough,175,8839,1514,3.6,7,16,31,136,297,1079,1249,1467,391,334
Alexander Nevsky,1938,"Sergei Eisenstein,Dmitriy Vasilev",109,5202,834,3.7,8,16,28,118,143,488,619,814,304,290
Tears of the Sun,2003,Antoine Fuqua,121,19259,1590,2.9,60,248,338,1265,1567,2866,1547,989,171,213
The Guns of Navarone,1961,J. Lee Thompson,158,8777,1484,3.6,6,18,22,105,198,914,1223,1575,345,295
Catch-22,1970,Mike Nichols,121,7792,1329,3.5,12,28,39,196,295,893,991,1142,367,267
War and Peace,1966,Sergey Bondarchuk,422,2690,802,4.2,3,5,5,16,30,108,163,424,401,497
Where Eagles Dare,1968,Brian G. Hutton,155,9472,1886,3.7,4,25,29,159,235,927,1299,1737,511,427
Hair,1979,Miloš Forman,121,11337,2121,3.6,29,58,91,304,398,1048,1278,1462,439,684
Le Petit Soldat,1963,Jean-Luc Godard,87,7854,1486,3.5,12,34,37,194,279,992,1140,1232,361,266
First They Killed My Father,2017,Angelina Jolie,136,7446,1350,3.5,12,52,70,266,377,1080,1399,1355,350,410
Tangerines,2013,Zaza Urushadze,87,8069,2060,3.9,8,13,16,78,162,571,1027,1914,937,699
The Longest Day,1962,"Bernhard Wicki,Ken Annakin,Andrew Marton",178,10259,1702,3.7,9,17,23,145,225,957,1276,1719,492,465
Lessons of Darkness,1992,Werner Herzog,54,6916,1846,4.0,1,10,11,51,81,381,652,1415,796,744
The Big Red One,1980,Samuel Fuller,113,6848,1216,3.6,6,14,32,136,217,715,830,1102,385,307
Battlefield Earth,2000,Roger Christian,118,16920,512,1.1,4630,2541,713,601,238,261,103,78,24,96
Mrs. Miniver,1942,William Wyler,134,5811,1022,3.7,3,15,29,101,204,600,798,1116,390,262
Anthropoid,2016,Sean Ellis,120,10133,1783,3.4,13,30,62,307,595,1738,1849,1658,358,315
Free State of Jones,2016,Gary Ross,139,11746,1451,3.0,59,165,260,950,1170,2323,1635,1118,198,193
The Beguiled,1971,Don Siegel,105,8615,1765,3.6,10,28,31,164,269,1036,1540,1757,507,292
The Duellists,1977,Ridley Scott,100,8205,1802,3.7,6,34,31,111,215,867,1368,1685,507,321
Che: Part Two,2008,Steven Soderbergh,131,10800,1531,3.5,11,34,54,239,426,1434,1454,1474,378,267
The Fog of War,2003,Errol Morris,95,11682,2254,4.0,7,20,20,72,132,739,1077,2399,1072,932
Their Finest,2016,Lone Scherfig,117,9272,1520,3.3,17,52,85,433,746,1919,1663,1280,256,177
Macbeth,1971,Roman Polanski,141,9798,1691,3.7,25,33,39,161,245,844,1111,1721,612,413
Casualties of War,1989,Brian De Palma,113,12003,1823,3.5,13,46,56,297,427,1519,1759,1797,471,279
Grand Illusion,1937,Jean Renoir,114,22997,5727,4.2,10,31,25,148,215,974,1671,3949,2647,3367
Jarhead,2005,Sam Mendes,123,60493,8381,3.4,92,256,303,1473,2268,7932,8632,7532,1626,950
Red Dawn,2012,Dan Bradley,93,21870,1211,2.1,753,1639,1551,2612,1717,1778,640,412,90,116
We Were Soldiers,2002,Randall Wallace,138,20702,2445,3.2,84,195,205,807,1092,2886,2384,1983,471,473
Billy Lynn's Long Halftime Walk,2016,Ang Lee,113,9352,990,2.9,87,237,351,949,1212,1819,1120,701,176,151
The Human Condition II: Road to Eternity,1959,Masaki Kobayashi,178,4999,1522,4.3,3,4,3,18,24,119,293,786,789,997
The Aftermath,2019,James Kent,108,7538,870,2.9,34,136,217,851,1019,1751,819,551,85,137
A Private War,2018,Matthew Heineman,106,8364,1481,3.4,15,49,59,251,479,1657,1803,1668,325,240
Testament of Youth,2014,James Kent,129,11440,2216,3.6,20,32,60,292,464,1526,1676,1812,472,615
Green Zone,2010,Paul Greengrass,115,24971,1668,3.0,59,216,310,1461,1974,4275,2643,1330,160,120
Fail Safe,1964,Sidney Lumet,112,7639,2064,4.0,7,9,18,70,83,423,736,1846,1050,746
Closely Watched Trains,1966,Jiří Menzel,93,6683,1473,3.8,8,15,20,72,127,479,878,1350,566,436
The Last Metro,1980,François Truffaut,131,7576,1292,3.6,2,16,20,96,219,790,1150,1410,371,249
Saboteur,1942,Alfred Hitchcock,108,11373,1699,3.4,8,28,38,222,423,1868,2167,1562,269,156
Gallipoli,1981,Peter Weir,112,11380,1864,3.6,10,31,25,163,308,1101,1531,1864,582,360
A Very Long Engagement,2004,Jean-Pierre Jeunet,133,15414,2249,3.6,18,69,69,303,453,1503,1679,2197,709,567
Wings,1927,William A. Wellman,141,6682,1229,3.7,9,21,24,108,204,737,939,1242,443,333
Fear and Desire,1953,Stanley Kubrick,62,11230,793,2.5,91,419,767,1725,1551,1675,574,293,43,50
Alexander,2004,Oliver Stone,175,29308,1784,2.5,409,1061,1111,2836,2386,3111,1347,916,208,277
King Arthur,2004,Antoine Fuqua,126,31653,2097,2.7,200,651,894,2633,2604,3970,1771,1012,186,215
Foreign Correspondent,1940,Alfred Hitchcock,120,10779,2114,3.7,8,16,20,106,243,1123,1809,2157,673,356
Red Dawn,1984,John Milius,114,21267,2963,3.0,136,343,417,1208,1404,3094,1895,1568,312,385
Germany Year Zero,1948,Roberto Rossellini,70,9212,1852,3.9,3,14,17,91,125,575,971,1829,917,804
The Human Condition III: A Soldier's Prayer,1961,Masaki Kobayashi,190,4984,1612,4.5,3,3,4,12,30,95,181,568,742,1328
The Killing Fields,1984,Roland Joffé,142,12741,2051,3.8,2,42,30,130,211,948,1480,2474,849,625
In This Corner of the World,2016,Sunao Katabuchi,130,10205,3067,3.9,12,20,21,85,206,933,1428,2574,1076,915
Hot Shots!,1991,Jim Abrahams,84,33322,3707,3.1,76,272,325,1221,1723,4723,3288,2303,373,410
Paisan,1946,Roberto Rossellini,125,7514,1488,3.9,3,9,14,80,106,500,827,1431,694,578
Defiance,2008,Edward Zwick,137,25703,2775,3.2,33,111,178,915,1512,4281,3403,2360,358,323
Official Secrets,2019,Gavin Hood,112,10398,2262,3.5,8,24,39,232,472,1927,2531,2462,454,305
War Machine,2017,David Michôd,122,18439,1410,2.6,199,600,791,2522,2678,3381,1486,721,86,62
Underground,1995,Emir Kusturica,170,10346,2696,4.1,19,29,30,116,139,404,691,1764,1237,1529
Flags of Our Fathers,2006,Clint Eastwood,135,24217,2295,3.3,29,111,149,744,1252,3835,3381,2391,413,337
The Wind That Shakes the Barley,2006,Ken Loach,127,14491,2625,3.7,7,31,47,222,341,1289,1786,2776,1044,716
Land of Mine,2015,Martin Zandvliet,100,13127,3230,3.9,9,12,27,117,222,1044,2116,3878,1301,866
Code Unknown,2000,Michael Haneke,118,10588,2053,3.7,14,43,36,188,269,928,1393,2033,829,556
"Merry Christmas, Mr. Lawrence",1983,Nagisa Ōshima,124,10167,2580,3.8,7,19,27,140,237,881,1321,1980,836,665
12 Strong,2018,Nicolai Fuglsig,130,17763,2267,2.9,134,383,486,1815,2392,3963,1911,1284,180,317
Joint Security Area,2000,Park Chan-wook,110,13323,3311,3.9,2,23,20,104,203,913,1756,3335,1466,827
Shame,1968,Ingmar Bergman,103,9643,2516,4.1,2,6,9,66,113,429,849,2136,1352,1090
Crimson Tide,1995,Tony Scott,116,23038,3733,3.6,11,45,57,377,638,2521,3028,3625,907,649
Legends of the Fall,1994,Edward Zwick,133,28120,4201,3.4,63,222,217,950,1208,3101,2893,3008,792,1141
Midway,2019,Roland Emmerich,138,14828,2234,2.8,207,577,826,1990,2095,3017,1599,1204,251,379
Whiskey Tango Foxtrot,2016,"Glenn Ficarra,John Requa",112,22718,2404,2.9,105,271,396,1635,2310,4650,2632,1470,185,166
To Have and Have Not,1944,Howard Hawks,100,14788,3333,3.9,5,20,25,117,224,1091,1727,2990,1125,922
The Human Condition I: No Greater Love,1959,Masaki Kobayashi,206,6438,2094,4.4,6,7,8,22,18,136,294,911,1020,1536
The Dirty Dozen,1967,Robert Aldrich,150,18216,3823,3.7,8,24,36,168,342,1559,2421,3649,1017,807
Ashes and Diamonds,1958,Andrzej Wajda,103,8879,2183,4.0,2,12,18,81,136,493,914,1784,1017,913
From Here to Eternity,1953,Fred Zinnemann,118,14561,2474,3.7,10,35,37,204,384,1343,1909,2780,909,688
'71,2014,Yann Demange,99,18293,3447,3.6,10,40,54,300,598,2378,3780,4076,897,404
Rambo III,1988,Peter MacDonald,102,34898,3171,2.7,197,770,992,3099,3358,4948,2021,1194,192,409
Eye in the Sky,2015,Gavin Hood,102,21988,3793,3.5,42,112,148,523,986,3093,4111,4601,1105,500
Glory,1989,Edward Zwick,122,27107,4719,3.7,16,65,68,378,595,2439,3371,4458,1422,1196
Brothers,2009,Jim Sheridan,104,30902,3461,3.2,99,273,298,1247,1681,4603,3974,2794,506,426
The Cranes Are Flying,1957,Mikhail Kalatozov,97,10303,3268,4.3,3,12,7,52,71,332,696,1806,1670,1772
Tolkien,2019,Dome Karukoski,112,15871,2653,3.1,43,178,346,1337,1911,3453,2260,1711,336,465
Dear John,2010,Lasse Hallström,115,51904,3683,2.7,585,1396,1218,3456,2689,4517,2035,2037,314,1030
Enemy at the Gates,2001,Jean-Jacques Annaud,131,39756,5333,3.4,43,166,235,999,1712,4997,5346,4671,983,790
Dracula Untold,2014,Gary Shore,92,37526,3177,2.5,590,1557,1693,4058,3673,4718,2023,1250,228,431
The Birth of a Nation,1915,D. W. Griffith,193,22651,1099,2.5,1433,947,449,1085,1002,1580,927,1103,348,588
The Ascent,1977,Larisa Chepitko,111,7703,2600,4.2,1,8,8,42,79,248,522,1546,1298,1393
The Life and Death of Colonel Blimp,1943,"Emeric Pressburger,Michael Powell",163,10164,2987,4.2,8,17,14,62,115,413,671,1595,1319,1922
Born on the Fourth of July,1989,Oliver Stone,145,29289,3938,3.5,47,99,137,573,832,3108,3602,4101,1248,804
Kagemusha,1980,Akira Kurosawa,180,15367,3923,4.1,2,17,16,87,160,798,1323,3330,1870,1543
Patton,1970,Franklin J. Schaffner,172,22596,4143,3.8,16,47,71,270,402,1585,2234,4183,1738,1396
For Sama,2019,"Waad al-Kateab,Edward Watts",100,11551,3771,4.3,14,10,10,53,87,364,748,2831,2281,2694
The Deer Hunter,1978,Michael Cimino,184,80500,19275,4.1,75,169,199,792,1007,3748,5852,14472,9037,9917
Rambo: First Blood Part II,1985,George P. Cosmatos,96,45160,5468,3.1,134,474,629,2348,3043,7399,4223,2917,512,748
Night and Fog,1956,Alain Resnais,32,19612,4113,4.3,6,15,14,43,91,495,801,2781,2064,3694
Transit,2018,Christian Petzold,101,14490,4102,3.8,16,41,74,306,438,1407,2385,3995,1713,803
Letters from Iwo Jima,2006,Clint Eastwood,141,31995,4986,3.8,22,59,73,371,571,2414,3439,5955,2310,1434
Doctor Zhivago,1965,David Lean,200,23618,4525,3.8,30,78,73,316,470,1602,2279,3960,1679,1785
The Men Who Stare at Goats,2009,Grant Heslov,93,54440,4967,2.9,248,716,909,3555,4343,7764,4615,2686,495,414
Valkyrie,2008,Bryan Singer,121,51573,4902,3.2,100,316,412,1940,3150,8451,6314,3890,604,482
The Patriot,2000,Roland Emmerich,165,59795,7087,3.2,305,797,843,2492,2961,6979,5521,4986,1224,1395
To Be or Not to Be,1942,Ernst Lubitsch,99,18550,5689,4.2,9,29,12,86,135,675,1233,3482,2674,2770
Au Revoir les Enfants,1987,Louis Malle,105,17963,4270,4.0,3,20,19,117,158,823,1473,3623,1917,1708
Under the Shadow,2016,Babak Anvari,84,23159,4837,3.5,61,126,149,680,1098,3257,4363,5058,1318,699
All Quiet on the Western Front,1930,Lewis Milestone,133,20273,3936,4.0,15,35,53,173,245,1102,1587,3759,1971,1842
Pearl Harbor,2001,Michael Bay,183,88503,6277,2.5,1701,3942,3364,7236,5328,7394,3656,3330,756,1542
Waltz with Bashir,2008,Ari Folman,90,27821,6294,4.0,18,53,53,227,355,1401,2509,5742,2813,2208
The Battle of Algiers,1966,Gillo Pontecorvo,121,26185,6843,4.2,19,17,36,131,211,934,1564,4314,3479,4445
The Last of the Mohicans,1992,Michael Mann,112,54579,8827,3.6,60,195,214,1016,1506,5273,5978,7391,2331,2400
Hotel Rwanda,2004,Terry George,122,66159,8697,3.7,39,95,99,572,1096,5028,7341,10930,2939,2062
They Shall Not Grow Old,2018,Peter Jackson,99,28355,8075,4.0,11,42,50,216,362,1955,3558,7981,3588,3998
"Good Morning, Vietnam",1987,Barry Levinson,121,62718,10346,3.6,35,128,168,836,1338,5906,7560,8632,2080,1788
War Horse,2011,Steven Spielberg,146,66408,8116,3.2,322,894,927,2948,3509,8114,6456,6216,1490,1688
Ivan's Childhood,1962,Andrey Tarkovsky,95,30975,8843,4.1,12,32,29,157,256,1200,2743,6942,4307,3517
Allied,2016,Robert Zemeckis,124,46892,6458,3.2,141,428,527,2507,3889,8867,7117,4745,848,907
Macbeth,2015,Justin Kurzel,113,41077,7318,3.4,166,401,450,1572,2087,5387,5678,6340,2038,1441
Beasts of No Nation,2015,Cary Joji Fukunaga,137,46674,9947,3.8,30,82,88,490,934,3796,6723,11617,4294,2445
The Bridge on the River Kwai,1957,David Lean,161,43182,10010,4.1,18,43,50,242,327,1720,3070,7818,5000,4971
Das Boot,1981,Wolfgang Petersen,150,40017,9141,4.1,20,69,55,234,325,1574,2621,7107,4887,4875
The Great Escape,1963,John Sturges,173,47451,10659,4.0,16,37,53,283,443,2277,4103,9166,4314,4343
Downfall,2004,Oliver Hirschbiegel,156,56752,10041,3.9,43,76,90,422,657,2914,5236,11675,5173,3757
The General,1926,"Buster Keaton,Clyde Bruckman",79,41481,10684,4.2,22,54,61,254,403,1791,2924,7114,4397,6133
Son of Saul,2015,László Nemes,107,32619,7243,4.0,73,155,134,504,710,2038,3105,6796,4727,3758
The Last Samurai,2003,Edward Zwick,154,101001,16115,3.5,226,640,612,2522,3244,9742,10525,12395,3829,3777
Black Hawk Down,2001,Ridley Scott,145,95169,14455,3.6,151,403,458,1864,2583,9051,10878,13562,3679,3009
A Hidden Life,2019,Terrence Malick,174,22397,7272,3.9,50,134,161,529,699,1845,2912,5538,3162,2731
The Boy in the Striped Pyjamas,2008,Mark Herman,94,128585,18415,3.6,301,551,560,2180,3158,10960,12298,16781,4257,6323
Incendies,2010,Denis Villeneuve,130,55480,18373,4.2,57,103,113,383,521,1975,3684,10966,9771,9722
Platoon,1986,Oliver Stone,120,96362,18079,3.8,66,186,188,983,1459,6406,9527,18826,6908,5480
"Salò, or the 120 Days of Sodom",1975,Pier Paolo Pasolini,117,44514,7048,3.3,1041,1082,725,1798,1782,4042,3549,5083,1976,3236
First Blood,1982,Ted Kotcheff,93,92314,17581,3.7,94,321,249,1281,1770,7589,9923,15790,4732,4454
Overlord,2018,Julius Avery,110,61421,14383,3.3,210,564,751,2841,4737,13254,13467,9853,1869,1190
Cold War,2018,Paweł Pawlikowski,88,73175,23371,3.9,74,216,268,1066,1634,5801,9529,17760,9863,8668
Grave of the Fireflies,1988,Isao Takahata,89,126504,40579,4.3,112,183,168,703,966,3759,6234,18913,15313,27118
War for the Planet of the Apes,2017,Matt Reeves,140,159262,35208,3.7,337,1003,853,3746,4764,15969,18446,29981,11894,9425
The Pianist,2002,Roman Polanski,150,185026,45432,4.2,123,211,147,810,1081,6148,9913,31025,19907,23440
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,95,193299,60209,4.3,134,363,257,1282,1501,7255,10469,29755,22212,36964
Full Metal Jacket,1987,Stanley Kubrick,116,249404,68825,4.1,101,271,212,1281,1869,10360,17174,48682,28068,28653
Hacksaw Ridge,2016,Mel Gibson,139,181273,44342,3.7,478,1250,1290,4468,5718,16668,21383,34909,14489,15133
Schindler's List,1993,Steven Spielberg,195,296466,81569,4.4,204,355,250,1206,1258,7054,9479,37149,29322,65866
The Imitation Game,2014,Morten Tyldum,113,319874,74610,3.7,304,959,1104,5624,7838,30540,35065,54817,15774,20409
Saving Private Ryan,1998,Steven Spielberg,169,318148,81481,4.2,216,519,410,2121,2507,12983,17421,50270,31754,44359
Pan's Labyrinth,2006,Guillermo del Toro,118,319924,100377,4.2,272,745,505,2781,2845,13933,18671,51604,31358,50262
Apocalypse Now,1979,Francis Ford Coppola,147,234034,72968,4.4,192,401,284,1535,1453,7614,9498,30845,25704,55705
1917,2019,Sam Mendes,119,286091,107409,4.1,223,571,657,2982,4930,19192,30765,72520,46519,52453
Dunkirk,2017,Christopher Nolan,107,443101,134481,3.9,706,2196,1487,9072,8806,39888,42185,96287,41971,47884
Jojo Rabbit,2019,Taika Waititi,108,296708,119149,4.0,825,1219,1223,4452,6300,21104,34107,77042,42087,48696
