title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Intimate Enemies,2007,Florent-Emilio Siri,108,284,32,3.3,1,3,5,11,18,42,46,37,3,7
Walter Defends Sarajevo,1972,Hajrudin Krvavac,133,249,43,3.5,0,0,2,4,12,22,31,30,8,14
Panipat,2019,Ashutosh Gowariker,171,257,27,2.7,5,18,10,38,43,44,23,12,5,2
Operator 13,1934,Richard Boleslawski,82,96,8,3.0,0,2,6,15,12,12,5,5,1,0
Guadalcanal Diary,1943,Lewis Seiler,93,228,19,3.0,1,3,9,18,11,45,29,14,2,0
Surprise Attack on a House at Daybreak,1898,Alice Guy-Blaché,1,387,18,2.7,7,11,8,35,26,32,8,10,0,2
Shock Troops,1967,Costa-Gavras,110,152,24,3.6,0,0,1,3,5,16,41,43,6,3
Hornblower: Loyalty,2003,Andrew Grieve,125,426,59,3.6,0,0,0,5,6,51,49,64,8,17
Leningrad,2009,Aleksandr Buravsky,120,285,29,2.9,6,12,10,22,22,46,28,11,3,4
Sky Hook,2000,​Ljubiša Samardžić,95,382,80,3.7,1,0,4,4,8,23,32,40,21,35
Sniper: Reloaded,2011,Claudio Fäh,91,357,24,2.6,11,20,14,37,40,45,10,11,1,3
Blessed by Fire,2005,Tristán Bauer,100,404,33,3.1,1,4,7,13,22,74,45,26,3,4
Tarzan's Desert Mystery,1943,Wilhelm Thiele,70,244,30,2.9,0,0,9,21,29,41,17,8,1,0
The Frogmen,1951,Lloyd Bacon,96,136,17,3.1,0,2,1,7,13,36,15,6,1,1
Blockade,1938,William Dieterle,85,99,7,2.9,0,4,4,9,19,13,4,1,0,0
Kedma,2002,Amos Gitai,100,147,15,3.2,0,1,2,8,19,20,16,11,3,3
Dirigible,1931,Frank Capra,100,147,15,3.2,0,0,1,8,13,32,22,9,3,0
The Boys from St. Petri,1991,Søren Kragh-Jacobsen,111,478,19,3.3,0,1,4,10,24,62,54,36,6,3
Solo,1980,Konstantin Lopushansky,29,164,33,3.5,0,0,0,3,5,22,25,27,3,3
Sharpe's Enemy,1994,Tom Clegg,90,429,63,3.5,0,2,2,5,10,45,52,44,5,13
Private Valentine: Blonde & Dangerous,2008,Steve Miner,98,499,19,2.3,29,39,28,37,33,28,13,9,2,5
A Town Like Alice,1956,Jack Lee,117,228,32,3.3,0,0,1,11,12,42,29,28,9,2
Sympathy for the Devil,2019,Guillaume de Fontenay,102,205,62,3.6,0,1,1,2,7,24,36,53,9,12
The Unknown Soldier,1985,Rauni Mollberg,198,264,17,3.5,1,3,1,7,10,31,32,39,6,12
The History of Love,2016,Radu Mihăileanu,134,223,23,2.8,6,12,11,35,19,29,15,12,2,6
Lloyd's of London,1936,Henry King,113,139,10,3.2,0,0,2,5,17,25,18,8,1,3
The Wooden Horse,1950,Jack Lee,101,281,34,3.3,0,1,1,5,12,60,54,22,3,5
Hannibal Brooks,1969,Michael Winner,102,171,30,3.4,0,1,1,6,8,35,24,20,5,5
Adieu Bonaparte,1985,Youssef Chahine,115,126,23,3.4,1,1,3,2,4,22,19,11,4,4
The Real Glory,1939,Henry Hathaway,96,193,18,3.1,0,2,3,9,23,48,31,12,1,0
The War at Home,1979,"Glenn Silber,Barry Alexander Brown",100,116,19,3.6,0,0,0,0,3,10,20,25,10,4
Soldiers of Salamina,2003,David Trueba,120,289,36,3.2,1,0,6,10,22,59,32,25,7,5
Spy Smasher,1942,William Witney,215,75,25,3.5,0,1,0,1,3,8,10,15,3,0
And Give My Love to the Swallows,1972,Jaromil Jireš,86,115,16,3.5,0,0,0,5,5,14,14,18,5,4
Flor Silvestre,1943,Emilio Fernández,94,146,31,3.5,0,0,0,1,10,20,17,22,6,3
In Tranzit,2007,Tom Roberts,113,259,17,2.8,2,8,7,39,25,48,15,5,2,3
The Howards of Virginia,1940,Frank Lloyd,116,196,20,3.0,2,1,8,16,23,26,13,5,1,3
We Stand Alone Together,2001,Mark Cowen,78,312,61,3.9,0,0,0,0,5,26,37,56,18,38
Lovely Trash,2014,Mohsen Amiryoussefi,88,462,62,2.6,25,38,31,53,38,44,32,33,8,10
SS Camp 5: Women's Hell,1977,Sergio Garrone,96,163,10,2.7,5,10,7,23,17,20,11,1,1,0
The One That Got Away,1957,Roy Ward Baker,111,232,35,3.4,1,0,1,4,12,45,46,37,1,3
The War of Jan-Ken-Pon,1971,Shūji Terayama,12,237,29,3.1,1,6,4,14,14,24,17,13,6,3
From This Day Forward,1946,John Berry,95,153,23,3.3,0,0,0,6,11,35,26,16,2,1
Hornblower: Mutiny,2001,Andrew Grieve,98,460,71,3.7,0,0,0,7,6,41,52,72,16,19
A Yank in the R.A.F.,1941,Henry King,98,191,22,3.1,0,1,3,15,11,26,15,8,0,5
The Last Cartridges,1897,Georges Méliès,1,493,22,2.7,4,23,14,35,44,53,13,5,3,8
Darby's Rangers,1958,William A. Wellman,121,140,20,3.1,0,0,3,14,17,29,16,6,2,1
Battle Circus,1953,Richard Brooks,90,235,30,3.0,0,1,4,17,30,45,20,8,1,1
Like Two Drops of Water,1963,Fons Rademakers,119,137,15,3.5,0,0,0,1,6,16,26,18,5,1
